Designator,Mid X,Mid Y,Rotation,Layer
C123,123.24,44.483001,0,top
C126,153.7395,152.4,180,top
C127,144.898,136.772,0,top
C128,58.226,27.786,180,top
C129,175.875,44.48,180,top
C130,120.728,44.483001,180,top
C133,97.1375,149.51,0,top
C134,136.0375,152,0,top
C135,58.254,22.782,180,top
C136,187.051,44.476,0,top
C137,206.084,30.252,180,top
C140,97.1375,151.8,0,top
C141,133.4975,152,180,top
C142,60.794,22.786,0,top
C143,184.257,44.48,0,top
C144,208.398,30.252,0,top
C147,84.905,137.3384,0,top
C148,92.872,120.414,0,top
C149,92.512,47.59,0,top
C150,160.889,44.226,0,top
C151,122.978,101.982,0,top
C154,84.905,139.8784,0,top
C155,92.9,122.7,0,top
C156,90.218,47.594,180,top
C157,158.349,44.226,180,top
C158,119.93,103.76,180,top
C161,22.578,202.218,0,top
C162,67.564,153.95,0,top
C163,191.032,160.566,0,top
C164,247.674,147.81,0,top
C165,45.466,202.151,0,top
C166,70.64,123.478,180,top
C167,274.158,165.25,0,top
C168,66.998,127.472,0,top
C169,67.31,202.21,0,top
C170,70.386,103.412,180,top
C171,219.58,145.959,0,top
C172,66.898,107.472,0,top
C173,238.764,206.95,180,top
C174,211.706,155.459,180,top
C175,92.738,200.06,0,top
C176,70.33,82.838,180,top
C177,192.048,179.001,0,top
C178,66.698,87.472,0,top
C179,266.538,207.04,180,top
C180,264.518,140.746,180,top
C181,118.492,200.06,0,top
C182,246.666,214.058,0,top
C183,219.58,162.571,0,top
C184,238.538,190.944,180,top
C185,211.03,172.157,180,top
C186,266.538,191.038,180,top
C187,142.266,200.06,0,top
C188,274.412,214.152,0,top
C189,274.412,148.112,0,top
C190,215.166,207.04,0,top
C191,238.792,174.692,180,top
C192,217.932,190.816,180,top
C193,166.766,200.06,0,top
C194,246.412,198.056,0,top
C195,218.904,179.269,0,top
C196,266.538,175.036,180,top
C197,242.348,156.976,180,top
C198,183.44,153.454,180,top
C199,192.224,199.814,0,top
C200,274.412,198.15,0,top
C201,222.094,214.028,0,top
C202,242.114,140.698,180,top
C203,266.284,158.138,180,top
C204,56.896,124.998,180,top
C205,67.564,188.748,0,top
C206,246.92,182.054,0,top
C207,221.508,197.924,0,top
C208,211.678,138.847,180,top
C209,67.592,171.649,0,top
C210,274.666,182.148,0,top
C211,247.428,164.084,0,top
C212,56.896,104.932,180,top
C213,292.354,119.918,0,top
C214,233.934,118.394,-90,top
C215,184.174,171.889,180,top
C216,56.388,84.87,180,top
D1,264.6895,52.1,-90,top
D2,282.956,62.49,0,top
D10,288.798,36.606,0,top
D31,39.878,87.66,-90,top
D34,42.672,103.916,0,top
D37,42.672,123.474,0,top
D39,17.526,67.594,-90,top
D41,17.78,57.563998,-90,top
D44,249.428,208.818,90,top
D45,277.114,208.914,90,top
D46,249.174,192.308,90,top
D47,17.78,47.94,-90,top
D49,17.78,37.21,-90,top
D51,256.54,205.866,90,top
D52,286.004,207.644,90,top
D53,256.794,191.546,90,top
D54,277.114,192.054,90,top
D57,249.428,176.656,90,top
D58,277.368,176.464,90,top
D59,16.022001,18.572,180,top
D60,25.512001,18.572,180,top
D61,34.910001,18.572,180,top
D62,44.870001,18.572,180,top
D63,286.258,190.53,90,top
D64,254.604,171.48,0,top
D65,285.496,175.29,90,top
D66,76.962,123.22,0,top
D71,76.804,103.408,0,top
D73,79.502,118.648,-90,top
D75,81.026,98.328,-90,top
D76,76.454,83.088,0,top
D77,81.534,77.246,-90,top
D78,223.362,201.198,90,top
D82,248.92,167.512,90,top
D83,249.936,149.89,90,top
D84,224.124,190.276,0,top
D85,160.753001,18.721998,180,top
D86,170.659001,18.721998,180,top
D87,180.311001,18.721998,180,top
D88,250.032,139.222,0,top
D89,249.524,156.494,0,top
D90,277.368,150.652,90,top
D97,277.31,167.004,90,top
D98,221.996,181.894,90,top
D99,278.034,157.002,0,top
D100,211.943,8.666,0,top
D101,201.676,11.46,0,top
D102,207.625,8.666,180,top
D103,199.61682,3.52583,90,top
D104,203.815,8.666,0,top
D105,222.346,171.734,0,top
D106,18.542,207.294,-90,top
D107,61.722,71.562,-90,top
D108,35.56,207.294,-90,top
D109,16.002,92.074,-90,top
D110,15.494,111.282,90,top
D111,15.748,131.19,90,top
D115,261.366,72.966,-90,top
D116,275.357,25.6665,90,top
D117,276.944,128.5,0,top
D118,244.602,123.982,90,top
D119,62.493464,65.416639,-90,top
D121,75.789489,68.485956,0,top
D122,77.216,63.434,-90,top
D123,81.788,59.212,90,top
D125,63.107774,54.229786,-90,top
D126,81.534,48.132,90,top
D127,80.735399,52.957683,90,top
D128,108.966,25.592,90,top
D129,140.590256,22.734,90,top
D130,63.496477,42.550727,-90,top
D131,63.596877,33.262652,0,top
D132,68.146426,30.599772,-90,top
D133,68.23,24.775219,-90,top
D134,117.235452,35.082,0,top
D135,134.528,35.082,0,top
D136,81.987358,45.389884,-90,top
D137,81.688366,38.952246,180,top
D138,83.73375,36.884809,180,top
D139,86.149656,32.796,0,top
D140,154.648803,36.271864,180,top
D141,169.672,34.32,0,top
D144,171.704,36.86,0,top
D145,182.022,35.844,0,top
D146,106.934,188.498,-90,top
D147,94.234,189.514,-90,top
D148,107.188,171.734,0,top
D149,93.472,184.18,90,top
D150,119.888,189.356,90,top
D151,120.396,171.734,0,top
D152,76.708,186.72,90,top
D153,86.36,188.752,90,top
D154,83.312,182.56,90,top
D155,85.344,182.656,90,top
D156,216.662,8.666,0,top
D157,216.662,11.714,180,top
D158,277.114,144.81,90,top
D162,139.446,189.26,90,top
D163,148.844,188.752,0,top
D164,165.862,189.006,180,top
D165,149.098,171.734,180,top
D166,131.572,171.734,0,top
D167,159.766,171.734,0,top
D168,139.192,171.734,0,top
D169,151.638,171.734,0,top
D170,165.608,171.734,0,top
D171,102.616,171.734,0,top
D172,114.046,171.734,0,top
D173,126.492,171.734,0,top
D178,139.338,29.494,0,top
D180,121.254,35.082,0,top
D181,126.091382,35.08249,180,top
D182,193.802,173.004,-90,top
D183,194.31,158.176,90,top
D184,199.644,168.686,180,top
D185,198.12,150.906,180,top
F1,279.1555,83.596,-90,top
FID1,284.226,4.856,0,top
FID2,8.5,20,0,top
FID3,8.5,208.3,0,top
J1,286.979,87.136,-90,top
J2,257.287,69.626,-90,top
J3,286.7155,67.832,-90,top
J4,284.822001,23.144,90,top
J5,281.025,133,-90,top
J6,236.728,124.998,90,top
J7,255.1505,26.192,0,top
J8,236.93,2.115,0,top
J9,188.503,113.257,0,top
J10,165.6445,113.26,0,top
J11,197.608,67.532,0,top
J12,170.7245,67.532,0,top
J13,12.585,180.233997,-90,top
J14,12.585,163.215997,-90,top
J15,12.585,146.197997,-90,top
J16,9.217,125.311496,-90,top
J17,9.225,104.999996,-90,top
J18,9.269,84.925496,-90,top
J19,31.242,180.233997,-90,top
J20,31.242,163.215997,-90,top
J21,31.213,145.943999,-90,top
J22,32.339,117.843997,-90,top
J23,32.339,100.799999,-90,top
J24,32.291,83.843997,-90,top
J25,12.516999,63.405998,-90,top
J26,34.492,63.152,-90,top
J27,12.553,53.753998,-90,top
J28,34.544,53.5,-90,top
J29,12.553,44.101998,-90,top
J30,34.544,43.848,-90,top
J31,12.605,34.449998,-90,top
J32,34.544,34.196,-90,top
J33,264.754,14.249999,0,top
J34,284.831501,44.988,90,top
J35,19.298,14,0,top
J36,28.95,14,0,top
J37,38.602,14,0,top
J38,48.254,14,0,top
J39,80.567999,12.028999,0,top
J40,101.717999,12,0,top
J41,122.731999,12.028999,0,top
J42,144,12,0,top
J43,132.496002,215.567001,180,top
J44,158.200002,215.5,180,top
J45,183.600002,215.5,180,top
J46,164.309001,14.149998,0,top
J47,173.961001,14.149998,0,top
J48,183.749,14.201999,0,top
J49,54.766004,215.208999,180,top
J50,76.356003,215.209,180,top
J51,98.200003,215.209,180,top
J52,193.655,14.201999,0,top
J53,20.036001,215.208999,180,top
J54,37.308001,215.208999,180,top
J55,252,208.485,180,top
J56,280,208.579,180,top
J57,203.84,5.872,90,top
J58,252,191.975,180,top
J59,280,192.069,180,top
J60,44.633,173.694998,-90,top
J61,44.633,160.994998,-90,top
J62,44.704,190.276,-90,top
J63,44.653,178.037998,-90,top
J64,44.633,156.422998,-90,top
J65,44.393,143.647998,-90,top
J66,252,176.212,180,top
J67,280,176.067,180,top
J68,280,149.113,0,top
J69,225,181.54,0,top
J70,280,166.52,0,top
J71,259.4685,26.207,0,top
J72,52.7425,176.310504,90,top
J73,52.6425,159.110504,90,top
J74,52.7425,141.510504,90,top
J75,44.491,131.190996,-90,top
J76,44.511,118.844996,-90,top
J77,44.511,111.224996,-90,top
J78,44.511,98.778996,-90,top
J79,44.511,91.158996,-90,top
J80,44.511,78.458996,-90,top
J81,258.44,13.231499,180,top
J82,286.019,33.812,90,top
J84,76.439,120.426,-90,top
J85,76.439,100.36,-90,top
J86,75.931,80.04,-90,top
J87,252.5,149.065,0,top
J88,252,166.55,0,top
J89,226.01,200.214,0,top
J90,67.822,60.172,90,top
J91,68.076,71.602,90,top
J92,68.076,65.76,90,top
J93,67.822,54.584,90,top
J94,67.837,48.996,90,top
J95,74.584,30.962,90,top
J96,130.352,25.194001,180,top
J97,67.837,37.058,90,top
J98,67.837,42.9,90,top
J99,74.569,25.12,90,top
J100,113.334,25.194001,180,top
J101,148.554,186.04,0,top
J102,135.6,186.055,0,top
J103,161,186.025,0,top
J104,157.079,31.526,90,top
J105,167.762,31.526,90,top
J106,177.907,31.526,90,top
J107,110.454,186.294,0,top
J108,98.008,186.294,0,top
J109,122.9,186.294,0,top
J110,80.482,186.294,0,top
J111,89.372,186.309,0,top
J115,78.755,86.898,90,top
J116,78.74,107.472,90,top
J117,78.755,127.538,90,top
J118,141.95,182.977,0,top
J119,154.65,182.992,0,top
J120,167.35,182.992,0,top
J121,104.358,182.992,0,top
J122,116.804,182.977,0,top
J123,128.488,182.977,0,top
J124,95.808,25.179001,180,top
J125,118.922,25.194001,180,top
J126,124.764,25.194001,180,top
J127,136.194,25.194001,180,top
J131,197.058,173.286,180,top
J132,197.058,156.771,180,top
K1,270.4394,62.26,180,top
L1,241.808,61.752,-90,top
L2,291.098,99.172,90,top
L3,252.276,98.452,90,top
Q1,258.572,49.306,90,top
R1,289.8595,52.037,180,top
R2,276.6515,44.48,180,top
R4,259.334,41.686,-90,top
R5,287.02,105.44,180,top
R6,248.92,21.112,90,top
R7,265.176,131.094,90,top
R11,21.336,63.276,90,top
R12,19.05,53.37,-90,top
R13,21.336,53.37,90,top
R14,19.05,63.276,-90,top
R15,19.05,43.21,-90,top
R16,21.336,43.21,90,top
R17,19.05,32.796,-90,top
R18,21.082,32.796,90,top
R19,270.342,15.519999,90,top
R20,283.8795,50.6715,180,top
R21,21.956001,21.928,90,top
R22,31.608001,21.928,90,top
R23,41.006001,21.874,90,top
R24,50.658001,21.874,90,top
R25,70.272001,19.083001,0,top
R26,90.869,19.08,0,top
R27,112.690001,19.083001,0,top
R28,132.842,19.08,0,top
R29,162.785001,22.531998,90,top
R30,172.437001,22.531998,90,top
R31,182.089001,22.531998,90,top
R32,63.5,207.871999,0,top
R33,84.773,207.871999,0,top
R34,107.294001,207.871999,0,top
R35,55.067,184.118502,180,top
R36,54.9165,166.846502,0,top
R37,54.9675,150.010504,0,top
R38,43.434,185.704,0,top
R39,43.383,169.147998,0,top
R40,58.623,186.404502,0,top
R41,51.511,186.404502,0,top
R42,58.7265,169.132502,0,top
R43,51.3605,169.132502,0,top
R44,58.4725,152.114502,0,top
R45,43.294,152.026,0,top
R46,280.5,128.5,0,top
R47,245.11,117.2275,-90,top
R48,51.2945,152.114502,0,top
R49,236.823,210.248,90,top
R50,263.7475,209.326,90,top
R51,236.76,194.5,90,top
