Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C14;47uF 10V X5R;C_0805_2012Metric;257.302;33.558;90;top
C15;330uF 10% 10V;CAPMP7.6X4.3_3.1N_KEM;268.478;33.668299;90;top
C16;330uF 10% 10V;CAPMP7.6X4.3_3.1N_KEM;262.89;33.668299;90;top
C17;10nF 50V ;C_0805_2012Metric;58.535;181.794502;180;top
C18;10nF 50V ;C_0805_2012Metric;58.7265;164.560502;180;top
C19;10nF 50V ;C_0805_2012Metric;58.4725;147.542502;180;top
C20;10nF 50V ;C_0805_2012Metric;51.423;181.832502;180;top
C21;10nF 50V ;C_0805_2012Metric;51.3605;164.560502;180;top
C22;10nF 50V ;C_0805_2012Metric;51.3605;147.542502;180;top
C23;10nF 50V ;C_0805_2012Metric;58.793;119.817998;180;top
C24;10nF 50V ;C_0805_2012Metric;50.215;123.373998;180;top
C25;10nF 50V ;C_0805_2012Metric;58.851;99.852;180;top
C26;10nF 50V ;C_0805_2012Metric;59.009;79.786;180;top
C27;10nF 50V ;C_0805_2012Metric;50.177;103.307998;180;top
C28;10nF 50V ;C_0805_2012Metric;50.373;83.087998;0;top
C29;10uF 10V X7R;C_0805_2012Metric;43.625;59.974;180;top
C30;10uF 10V X7R;C_0805_2012Metric;43.688;50.576;180;top
C31;10uF 10V X7R;C_0805_2012Metric;43.688;41.178;180;top
C32;10uF 10V X7R;C_0805_2012Metric;50.038;66.07;0;top
C33;10uF 10V X7R;C_0805_2012Metric;50.038;56.926;0;top
C34;10uF 10V X7R;C_0805_2012Metric;50.038;47.274;0;top
C35;10uF 10V X7R;C_0805_2012Metric;281.848;15.572;0;top
C36;10uF 10V X7R;C_0805_2012Metric;43.688;31.3675;180;top
C37;10uF 10V X7R;C_0805_2012Metric;50.038;37.368;0;top
C38;10uF 10V X7R;C_0805_2012Metric;16.368001;24.414;90;top
C39;10uF 10V X7R;C_0805_2012Metric;26.020001;24.414;90;top
C40;10uF 10V X7R;C_0805_2012Metric;35.418001;24.414;90;top
C41;10uF 10V X7R;C_0805_2012Metric;44.816001;24.414;90;top
C42;10nF 50V ;C_0805_2012Metric;103.516;26.195001;0;top
C43;10nF 50V ;C_0805_2012Metric;145.285999;25.941001;0;top
C44;10nF 50V ;C_0805_2012Metric;148.566;205.623;180;top
C45;10nF 50V ;C_0805_2012Metric;174.474;205.623;180;top
C46;10nF 50V ;C_0805_2012Metric;200.2785;205.623;180;top
C47;10uF 10V X7R;C_0805_2012Metric;157.197001;25.071998;90;top
C48;10uF 10V X7R;C_0805_2012Metric;166.849001;25.071998;90;top
C49;10uF 10V X7R;C_0805_2012Metric;176.501001;25.071998;90;top
C50;10nF 50V ;C_0805_2012Metric;65.280501;204.315999;0;top
C51;10nF 50V ;C_0805_2012Metric;86.720001;204.315999;0;top
C52;10nF 50V ;C_0805_2012Metric;108.194001;204.315999;0;top
C53;10nF 50V ;C_0805_2012Metric;24.299001;205.331999;180;top
C54;10nF 50V ;C_0805_2012Metric;40.492001;205.331999;180;top
C55;0,1uF;C_0402_1005Metric;108.1375;149.114;0;top
C56;0,1uF;C_0402_1005Metric;132.3598;91.064;0;top
C57;0,1uF;C_0402_1005Metric;93.502;65.66;0;top
C58;0,1uF;C_0402_1005Metric;59.008;56.3616;-90;top
C59;0,1uF;C_0402_1005Metric;169.00445;45.04145;180;top
C60;0,1uF;C_0402_1005Metric;122.9018;88.012;0;top
C63;1uF;C_0402_1005Metric;108.1375;151.4;0;top
C64;1uF;C_0402_1005Metric;132.3598;93.334;0;top
C65;1uF;C_0402_1005Metric;93.7;68.2;0;top
C66;1uF;C_0402_1005Metric;59.008;58.6476;90;top
C67;1uF;C_0402_1005Metric;166.23845;45.03345;0;top
C68;1uF;C_0402_1005Metric;120.3618;89.79;180;top
C71;0,1uF;C_0402_1005Metric;117.9435;152.4;0;top
C72;0,1uF;C_0402_1005Metric;171.38;140.966;180;top
C73;0,1uF;C_0402_1005Metric;93.62;52.674;0;top
C74;0,1uF;C_0402_1005Metric;92.572;40.6;0;top
C75;0,1uF;C_0402_1005Metric;149.148;39.657001;0;top
C76;0,1uF;C_0402_1005Metric;282.42;11.201999;0;top
C79;1uF;C_0402_1005Metric;115.6575;152.4;180;top
C80;1uF;C_0402_1005Metric;173.92;140.966;0;top
C81;1uF;C_0402_1005Metric;90.762;54.706;180;top
C82;1uF;C_0402_1005Metric;90.06;40.604;180;top
C83;1uF;C_0402_1005Metric;146.608;41.435001;0;top
C84;1uF;C_0402_1005Metric;279.88;11.201999;180;top
C87;0,1uF;C_0402_1005Metric;125.9455;152.7105;0;top
C88;0,1uF;C_0402_1005Metric;172.042;129.962;180;top
C89;0,1uF;C_0402_1005Metric;59.008;45.6936;90;top
C90;0,1uF;C_0402_1005Metric;106.476;36.609001;0;top
C91;0,1uF;C_0402_1005Metric;203.036;47.686;180;top
C92;0,1uF;C_0402_1005Metric;275.49;48.29;0;top
C95;1uF;C_0402_1005Metric;123.6595;152.7105;180;top
C96;1uF;C_0402_1005Metric;174.582;129.962;0;top
C97;1uF;C_0402_1005Metric;59.008;47.9796;90;top
C98;1uF;C_0402_1005Metric;104.1856;36.609001;180;top
C99;1uF;C_0402_1005Metric;205.858;46.416;0;top
C100;1uF;C_0402_1005Metric;273.204;48.29;180;top
C103;0,1uF;C_0402_1005Metric;146.9125;152.2;0;top
C104;0,1uF;C_0402_1005Metric;165.4235;152.3;0;top
C105;0,1uF;C_0402_1005Metric;59.008;36.8316;-90;top
C106;0,1uF;C_0402_1005Metric;106.73;44.229001;0;top
C107;0,1uF;C_0402_1005Metric;203.318;37.526;180;top
C111;1uF;C_0402_1005Metric;144.8805;152.204;180;top
C112;1uF;C_0402_1005Metric;163.1095;152.296;180;top
C113;1uF;C_0402_1005Metric;59.008;39.0896;90;top
C114;1uF;C_0402_1005Metric;104.444;44.229001;180;top
C115;1uF;C_0402_1005Metric;205.576;36.51;0;top
C119;0,1uF;C_0402_1005Metric;156.0535;152.4;0;top
C120;0,1uF;C_0402_1005Metric;143.018;138.56;180;top
C121;0,1uF;C_0402_1005Metric;60.54;27.786;0;top
C122;0,1uF;C_0402_1005Metric;178.161;44.476;0;top
C123;0,1uF;C_0402_1005Metric;123.24;44.483001;0;top
C126;1uF;C_0402_1005Metric;153.7395;152.4;180;top
C127;1uF;C_0402_1005Metric;144.898;136.772;0;top
C128;1uF;C_0402_1005Metric;58.226;27.786;180;top
C129;1uF;C_0402_1005Metric;175.875;44.48;180;top
C130;1uF;C_0402_1005Metric;120.728;44.483001;180;top
C133;0,1uF;C_0402_1005Metric;97.1375;149.51;0;top
C134;0,1uF;C_0402_1005Metric;136.0375;152;0;top
C135;0,1uF;C_0402_1005Metric;58.254;22.782;180;top
C136;0,1uF;C_0402_1005Metric;187.051;44.476;0;top
C137;0,1uF;C_0402_1005Metric;206.084;30.252;180;top
C140;1uF;C_0402_1005Metric;97.1375;151.8;0;top
C141;1uF;C_0402_1005Metric;133.4975;152;180;top
C142;1uF;C_0402_1005Metric;60.794;22.786;0;top
C143;1uF;C_0402_1005Metric;184.257;44.48;0;top
C144;1uF;C_0402_1005Metric;208.398;30.252;0;top
C147;0,1uF;C_0402_1005Metric;84.905;137.3384;0;top
C148;0,1uF;C_0402_1005Metric;92.872;120.414;0;top
C149;0,1uF;C_0402_1005Metric;92.512;47.59;0;top
C150;0,1uF;C_0402_1005Metric;160.889;44.226;0;top
C151;0,1uF;C_0402_1005Metric;122.978;101.982;0;top
C154;1uF;C_0402_1005Metric;84.905;139.8784;0;top
C155;1uF;C_0402_1005Metric;92.9;122.7;0;top
C156;1uF;C_0402_1005Metric;90.218;47.594;180;top
C157;1uF;C_0402_1005Metric;158.349;44.226;180;top
C158;1uF;C_0402_1005Metric;119.93;103.76;180;top
C161;0,1uF;C_0402_1005Metric;22.578;202.218;0;top
